




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (8962)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (expected)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (over/under)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (fold Enrichment)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (raw P-value)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (FDR)
regulation of small GTPase mediated signal transduction (GO:0051056)	348	203	151.43	+	1.34	1.04E-03	2.95E-02
regulation of cellular component biogenesis (GO:0044087)	974	568	423.84	+	1.34	1.97E-08	1.54E-06
positive regulation of protein kinase activity (GO:0045860)	539	314	234.55	+	1.34	4.33E-05	1.88E-03
regulation of actin filament-based process (GO:0032970)	397	231	172.76	+	1.34	5.16E-04	1.67E-02
developmental growth (GO:0048589)	358	208	155.79	+	1.34	1.03E-03	2.93E-02
positive regulation of cellular metabolic process (GO:0031325)	3314	1925	1442.10	+	1.33	4.42E-28	3.32E-25
positive regulation of cellular component organization (GO:0051130)	1161	674	505.21	+	1.33	1.31E-09	1.25E-07
cell division (GO:0051301)	498	289	216.71	+	1.33	9.79E-05	3.92E-03
regulation of cytoskeleton organization (GO:0051493)	526	305	228.89	+	1.33	6.70E-05	2.79E-03
regulation of cellular response to stress (GO:0080135)	692	401	301.13	+	1.33	4.93E-06	2.54E-04
regulation of transcription by RNA polymerase II (GO:0006357)	2595	1503	1129.23	+	1.33	6.01E-21	1.86E-18
cell development (GO:0048468)	1646	953	716.26	+	1.33	4.15E-13	6.13E-11
growth (GO:0040007)	361	209	157.09	+	1.33	1.07E-03	3.02E-02
positive regulation of transferase activity (GO:0051347)	693	401	301.56	+	1.33	5.00E-06	2.57E-04
regulation of cell cycle phase transition (GO:1901987)	522	302	227.15	+	1.33	8.61E-05	3.49E-03
regulation of supramolecular fiber organization (GO:1902903)	382	221	166.23	+	1.33	7.78E-04	2.35E-02
regulation of actin cytoskeleton organization (GO:0032956)	358	207	155.79	+	1.33	1.20E-03	3.30E-02
cellular response to peptide (GO:1901653)	339	196	147.52	+	1.33	1.71E-03	4.46E-02
protein phosphorylation (GO:0006468)	685	396	298.08	+	1.33	6.09E-06	3.07E-04
regulation of secretion by cell (GO:1903530)	581	335	252.82	+	1.33	4.21E-05	1.83E-03
positive regulation of kinase activity (GO:0033674)	614	354	267.18	+	1.32	2.28E-05	1.05E-03
regulation of anatomical structure size (GO:0090066)	514	296	223.67	+	1.32	1.22E-04	4.83E-03
positive regulation of cellular catabolic process (GO:0031331)	450	259	195.82	+	1.32	3.68E-04	1.25E-02
regulation of transferase activity (GO:0051338)	1033	594	449.51	+	1.32	3.79E-08	2.77E-06
chemical synaptic transmission (GO:0007268)	414	238	180.15	+	1.32	6.55E-04	2.04E-02
anterograde trans-synaptic signaling (GO:0098916)	414	238	180.15	+	1.32	6.55E-04	2.03E-02
mitotic cell cycle process (GO:1903047)	675	388	293.73	+	1.32	1.14E-05	5.36E-04
regulation of kinase activity (GO:0043549)	914	525	397.73	+	1.32	3.00E-07	1.94E-05
nucleobase-containing compound biosynthetic process (GO:0034654)	975	560	424.28	+	1.32	1.09E-07	7.47E-06
regulation of protein transport (GO:0051223)	556	319	241.95	+	1.32	8.64E-05	3.49E-03
regulation of protein kinase activity (GO:0045859)	802	460	348.99	+	1.32	1.90E-06	1.06E-04
phosphorylation (GO:0016310)	877	503	381.63	+	1.32	6.17E-07	3.75E-05
regulation of cellular localization (GO:0060341)	841	482	365.96	+	1.32	1.11E-06	6.41E-05
muscle structure development (GO:0061061)	473	271	205.83	+	1.32	3.18E-04	1.11E-02
regulation of cell cycle (GO:0051726)	1164	666	506.52	+	1.31	9.92E-09	8.30E-07
trans-synaptic signaling (GO:0099537)	432	247	187.99	+	1.31	6.17E-04	1.94E-02
regulation of vesicle-mediated transport (GO:0060627)	530	303	230.63	+	1.31	1.51E-04	5.77E-03
negative regulation of protein modification process (GO:0031400)	558	319	242.82	+	1.31	1.03E-04	4.09E-03
cell-cell signaling (GO:0007267)	1131	646	492.16	+	1.31	1.88E-08	1.48E-06
positive regulation of cellular component biogenesis (GO:0044089)	534	305	232.37	+	1.31	1.58E-04	6.02E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	545	311	237.16	+	1.31	1.36E-04	5.27E-03
positive regulation of protein modification process (GO:0031401)	1079	615	469.53	+	1.31	5.80E-08	4.15E-06
regulation of cell communication (GO:0010646)	3509	2000	1526.96	+	1.31	3.86E-26	2.03E-23
regulation of signaling (GO:0023051)	3545	2020	1542.62	+	1.31	2.11E-26	1.15E-23
regulation of organelle organization (GO:0033043)	1208	688	525.67	+	1.31	9.40E-09	7.90E-07
synaptic signaling (GO:0099536)	464	264	201.91	+	1.31	5.13E-04	1.66E-02
modification-dependent protein catabolic process (GO:0019941)	552	314	240.21	+	1.31	1.48E-04	5.70E-03
modification-dependent macromolecule catabolic process (GO:0043632)	563	320	244.99	+	1.31	1.27E-04	4.98E-03
regulation of cell cycle process (GO:0010564)	792	450	344.64	+	1.31	5.43E-06	2.77E-04
regulation of localization (GO:0032879)	2753	1564	1197.98	+	1.31	2.13E-19	5.42E-17
regulation of secretion (GO:0051046)	639	363	278.06	+	1.31	4.88E-05	2.10E-03
regulation of establishment of protein localization (GO:0070201)	581	330	252.82	+	1.31	1.03E-04	4.09E-03
response to peptide (GO:1901652)	488	277	212.36	+	1.30	4.45E-04	1.48E-02
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1998	1532.61	+	1.30	2.78E-25	1.19E-22
regulation of cellular component movement (GO:0051270)	1032	585	449.08	+	1.30	2.19E-07	1.48E-05
regulation of locomotion (GO:0040012)	997	565	433.85	+	1.30	3.47E-07	2.24E-05
regulation of transport (GO:0051049)	1772	1004	771.09	+	1.30	4.25E-12	5.50E-10
negative regulation of cellular component organization (GO:0051129)	724	410	315.05	+	1.30	1.81E-05	8.37E-04
carbohydrate derivative biosynthetic process (GO:1901137)	604	342	262.83	+	1.30	1.01E-04	4.04E-03
regulation of cell motility (GO:2000145)	954	540	415.14	+	1.30	7.60E-07	4.52E-05
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	1388	1067.43	+	1.30	1.13E-16	2.29E-14
response to organonitrogen compound (GO:0010243)	1014	573	441.25	+	1.30	4.20E-07	2.64E-05
cellular response to DNA damage stimulus (GO:0006974)	793	448	345.08	+	1.30	8.44E-06	4.08E-04
positive regulation of transport (GO:0051050)	947	535	412.09	+	1.30	1.07E-06	6.24E-05
cellular macromolecule localization (GO:0070727)	1480	836	644.03	+	1.30	5.63E-10	5.63E-08
MAPK cascade (GO:0000165)	402	227	174.93	+	1.30	1.83E-03	4.73E-02
positive regulation of protein metabolic process (GO:0051247)	1562	882	679.71	+	1.30	1.86E-10	2.03E-08
positive regulation of metabolic process (GO:0009893)	3820	2155	1662.29	+	1.30	1.26E-26	7.63E-24
negative regulation of phosphorus metabolic process (GO:0010563)	484	273	210.61	+	1.30	6.52E-04	2.03E-02
mitotic cell cycle (GO:0000278)	750	423	326.37	+	1.30	1.84E-05	8.48E-04
cellular protein localization (GO:0034613)	1470	829	639.68	+	1.30	8.95E-10	8.79E-08
chromosome organization (GO:0051276)	1064	600	463.00	+	1.30	2.39E-07	1.59E-05
regulation of cell migration (GO:0030334)	892	503	388.16	+	1.30	2.72E-06	1.47E-04
cellular protein catabolic process (GO:0044257)	644	363	280.24	+	1.30	7.93E-05	3.26E-03
negative regulation of programmed cell death (GO:0043069)	914	515	397.73	+	1.29	1.99E-06	1.11E-04
cellular response to endogenous stimulus (GO:0071495)	1152	649	501.30	+	1.29	8.78E-08	6.20E-06
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	343	265.01	+	1.29	1.24E-04	4.87E-03
negative regulation of phosphate metabolic process (GO:0045936)	483	272	210.18	+	1.29	6.47E-04	2.02E-02
regulation of RNA biosynthetic process (GO:2001141)	3480	1959	1514.34	+	1.29	1.69E-23	6.36E-21
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1956	1512.16	+	1.29	1.88E-23	6.93E-21
regulation of transcription, DNA-templated (GO:0006355)	3474	1955	1511.73	+	1.29	2.19E-23	7.85E-21
heterocycle biosynthetic process (GO:0018130)	1049	590	456.48	+	1.29	4.07E-07	2.58E-05
negative regulation of apoptotic process (GO:0043066)	895	503	389.46	+	1.29	3.26E-06	1.74E-04
regulation of RNA metabolic process (GO:0051252)	3782	2123	1645.75	+	1.29	2.63E-25	1.15E-22
DNA repair (GO:0006281)	531	298	231.07	+	1.29	4.18E-04	1.39E-02
regulation of signal transduction (GO:0009966)	3128	1755	1361.16	+	1.29	2.73E-20	7.84E-18
regulation of protein modification process (GO:0031399)	1654	927	719.74	+	1.29	1.85E-10	2.03E-08
positive regulation of cellular protein metabolic process (GO:0032270)	1474	826	641.42	+	1.29	2.19E-09	2.01E-07
aromatic compound biosynthetic process (GO:0019438)	1060	594	461.26	+	1.29	5.28E-07	3.23E-05
negative regulation of cellular metabolic process (GO:0031324)	2613	1463	1137.06	+	1.29	1.87E-16	3.64E-14
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	2267	1761.94	+	1.29	6.53E-27	4.13E-24
organophosphate biosynthetic process (GO:0090407)	552	309	240.21	+	1.29	3.99E-04	1.34E-02
protein catabolic process (GO:0030163)	697	390	303.30	+	1.29	6.22E-05	2.61E-03
posttranscriptional regulation of gene expression (GO:0010608)	581	325	252.82	+	1.29	2.75E-04	9.82E-03
regulation of phosphorylation (GO:0042325)	1391	778	605.30	+	1.29	8.56E-09	7.31E-07
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	2219	1726.69	+	1.29	5.51E-26	2.72E-23
regulation of intracellular signal transduction (GO:1902531)	1839	1028	800.25	+	1.28	2.41E-11	2.98E-09
regulation of system process (GO:0044057)	585	327	254.57	+	1.28	2.87E-04	1.02E-02
response to endogenous stimulus (GO:0009719)	1426	797	620.53	+	1.28	6.14E-09	5.31E-07
regulation of macromolecule biosynthetic process (GO:0010556)	3999	2235	1740.18	+	1.28	3.91E-26	1.99E-23
regulation of protein phosphorylation (GO:0001932)	1218	680	530.02	+	1.28	1.02E-07	7.07E-06
positive regulation of signaling (GO:0023056)	1761	983	766.31	+	1.28	8.97E-11	1.02E-08
negative regulation of cell death (GO:0060548)	1008	562	438.64	+	1.28	1.81E-06	1.01E-04
regulation of cellular amide metabolic process (GO:0034248)	479	267	208.44	+	1.28	1.23E-03	3.37E-02
positive regulation of protein phosphorylation (GO:0001934)	838	467	364.66	+	1.28	1.58E-05	7.39E-04
positive regulation of cell communication (GO:0010647)	1755	978	763.70	+	1.28	1.28E-10	1.42E-08
regulation of cellular biosynthetic process (GO:0031326)	4163	2317	1811.55	+	1.28	1.63E-26	9.54E-24
protein localization (GO:0008104)	2063	1147	897.72	+	1.28	3.33E-12	4.42E-10
positive regulation of phosphorylation (GO:0042327)	921	512	400.78	+	1.28	7.35E-06	3.59E-04
cellular response to stress (GO:0033554)	1741	967	757.60	+	1.28	2.94E-10	3.09E-08
regulation of biosynthetic process (GO:0009889)	4226	2346	1838.96	+	1.28	2.09E-26	1.18E-23
positive regulation of signal transduction (GO:0009967)	1584	878	689.28	+	1.27	2.90E-09	2.62E-07
regulation of transmembrane transport (GO:0034762)	591	327	257.18	+	1.27	4.58E-04	1.52E-02
cellular response to hormone stimulus (GO:0032870)	529	292	230.20	+	1.27	1.06E-03	2.99E-02
regulation of protein serine/threonine kinase activity (GO:0071900)	493	272	214.53	+	1.27	1.63E-03	4.31E-02
response to hormone (GO:0009725)	819	451	356.39	+	1.27	4.92E-05	2.11E-03
microtubule cytoskeleton organization (GO:0000226)	567	312	246.73	+	1.26	9.04E-04	2.67E-02
positive regulation of cellular component movement (GO:0051272)	558	307	242.82	+	1.26	9.45E-04	2.76E-02
organic cyclic compound biosynthetic process (GO:1901362)	1196	658	520.44	+	1.26	7.95E-07	4.71E-05
positive regulation of apoptotic process (GO:0043065)	560	308	243.69	+	1.26	9.62E-04	2.80E-02
regulation of ion transmembrane transport (GO:0034765)	502	276	218.45	+	1.26	1.78E-03	4.63E-02
positive regulation of molecular function (GO:0044093)	1618	889	704.08	+	1.26	7.74E-09	6.65E-07
negative regulation of cellular process (GO:0048523)	4902	2693	2133.13	+	1.26	4.53E-29	4.21E-26
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1580	1253.24	+	1.26	1.94E-15	3.44E-13
regulation of nitrogen compound metabolic process (GO:0051171)	5740	3147	2497.78	+	1.26	3.48E-35	6.10E-32
positive regulation of phosphorus metabolic process (GO:0010562)	998	547	434.28	+	1.26	1.04E-05	4.97E-04
positive regulation of phosphate metabolic process (GO:0045937)	998	547	434.28	+	1.26	1.04E-05	4.96E-04
cellular response to organonitrogen compound (GO:0071417)	604	331	262.83	+	1.26	7.64E-04	2.32E-02
regulation of multicellular organismal process (GO:0051239)	2673	1464	1163.17	+	1.26	4.13E-14	6.72E-12
response to nitrogen compound (GO:1901698)	1101	603	479.10	+	1.26	3.85E-06	2.05E-04
regulation of ion transport (GO:0043269)	703	385	305.91	+	1.26	2.80E-04	9.98E-03
system development (GO:0048731)	4330	2371	1884.22	+	1.26	3.32E-24	1.31E-21
regulation of phosphate metabolic process (GO:0019220)	1578	864	686.67	+	1.26	2.26E-08	1.75E-06
regulation of phosphorus metabolic process (GO:0051174)	1578	864	686.67	+	1.26	2.26E-08	1.74E-06
regulation of MAPK cascade (GO:0043408)	707	387	307.65	+	1.26	2.56E-04	9.23E-03
regulation of primary metabolic process (GO:0080090)	5925	3243	2578.29	+	1.26	3.06E-36	6.05E-33
response to abiotic stimulus (GO:0009628)	1175	643	511.31	+	1.26	1.84E-06	1.03E-04
positive regulation of cell death (GO:0010942)	638	349	277.63	+	1.26	5.52E-04	1.77E-02
regulation of cellular metabolic process (GO:0031323)	6138	3357	2670.98	+	1.26	7.62E-38	1.72E-34
organelle localization (GO:0051640)	609	333	265.01	+	1.26	7.99E-04	2.40E-02
positive regulation of cell motility (GO:2000147)	545	298	237.16	+	1.26	1.59E-03	4.22E-02
positive regulation of cellular process (GO:0048522)	5741	3138	2498.22	+	1.26	3.10E-34	4.45E-31
localization within membrane (GO:0051668)	615	336	267.62	+	1.26	7.44E-04	2.27E-02
positive regulation of programmed cell death (GO:0043068)	575	314	250.21	+	1.25	1.25E-03	3.41E-02
intracellular signal transduction (GO:0035556)	1677	915	729.75	+	1.25	1.29E-08	1.05E-06
negative regulation of cell population proliferation (GO:0008285)	703	383	305.91	+	1.25	3.60E-04	1.23E-02
negative regulation of metabolic process (GO:0009892)	3095	1686	1346.80	+	1.25	9.60E-16	1.74E-13
positive regulation of catalytic activity (GO:0043085)	1240	675	539.59	+	1.25	1.71E-06	9.64E-05
intracellular protein transport (GO:0006886)	781	425	339.86	+	1.25	1.80E-04	6.76E-03
positive regulation of locomotion (GO:0040017)	560	304	243.69	+	1.25	1.81E-03	4.70E-02
establishment of protein localization (GO:0045184)	1397	758	607.91	+	1.25	5.22E-07	3.21E-05
negative regulation of multicellular organismal process (GO:0051241)	1014	550	441.25	+	1.25	2.49E-05	1.13E-03
actin filament-based process (GO:0030029)	605	328	263.27	+	1.25	1.27E-03	3.45E-02
regulation of cell population proliferation (GO:0042127)	1654	895	719.74	+	1.24	5.43E-08	3.90E-06
cellular response to nitrogen compound (GO:1901699)	664	359	288.94	+	1.24	8.81E-04	2.61E-02
cellular macromolecule catabolic process (GO:0044265)	925	500	402.52	+	1.24	7.46E-05	3.07E-03
protein modification by small protein conjugation or removal (GO:0070647)	1035	559	450.38	+	1.24	2.95E-05	1.32E-03
multicellular organism development (GO:0007275)	4941	2668	2150.10	+	1.24	3.93E-25	1.64E-22
protein transport (GO:0015031)	1300	701	565.70	+	1.24	2.76E-06	1.48E-04
phosphorus metabolic process (GO:0006793)	1835	989	798.51	+	1.24	1.66E-08	1.34E-06
protein modification by small protein conjugation (GO:0032446)	822	443	357.70	+	1.24	2.52E-04	9.10E-03
phosphate-containing compound metabolic process (GO:0006796)	1808	972	786.76	+	1.24	3.18E-08	2.38E-06
microtubule-based process (GO:0007017)	806	433	350.73	+	1.23	3.56E-04	1.22E-02
regulation of programmed cell death (GO:0043067)	1532	823	666.66	+	1.23	4.97E-07	3.08E-05
regulation of protein metabolic process (GO:0051246)	2665	1431	1159.69	+	1.23	8.10E-12	1.02E-09
macromolecule localization (GO:0033036)	2496	1340	1086.14	+	1.23	4.82E-11	5.60E-09
regulation of biological quality (GO:0065008)	3995	2143	1738.44	+	1.23	3.02E-18	6.72E-16
regulation of apoptotic process (GO:0042981)	1493	799	649.69	+	1.23	1.21E-06	6.94E-05
macromolecule catabolic process (GO:0009057)	1058	566	460.39	+	1.23	5.59E-05	2.36E-03
protein ubiquitination (GO:0016567)	746	399	324.63	+	1.23	8.17E-04	2.45E-02
regulation of cellular protein metabolic process (GO:0032268)	2501	1337	1088.32	+	1.23	1.17E-10	1.30E-08
cellular protein modification process (GO:0006464)	2985	1594	1298.94	+	1.23	1.20E-12	1.71E-10
protein modification process (GO:0036211)	2985	1594	1298.94	+	1.23	1.20E-12	1.69E-10
anatomical structure development (GO:0048856)	5330	2846	2319.37	+	1.23	7.67E-25	3.11E-22
animal organ development (GO:0048513)	3220	1719	1401.20	+	1.23	1.05E-13	1.68E-11
protein localization to organelle (GO:0033365)	742	396	322.88	+	1.23	9.98E-04	2.86E-02
regulation of cell death (GO:0010941)	1668	890	725.84	+	1.23	3.59E-07	2.30E-05
positive regulation of cell population proliferation (GO:0008284)	939	501	408.61	+	1.23	1.88E-04	6.97E-03
macromolecule biosynthetic process (GO:0009059)	1680	896	731.06	+	1.23	3.47E-07	2.23E-05
negative regulation of biological process (GO:0048519)	5501	2933	2393.78	+	1.23	1.51E-25	7.24E-23
positive regulation of intracellular signal transduction (GO:1902533)	1040	554	452.56	+	1.22	9.75E-05	3.91E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	827	675.79	+	1.22	1.30E-06	7.40E-05
developmental process (GO:0032502)	5797	3087	2522.59	+	1.22	4.63E-27	3.18E-24
regulation of metabolic process (GO:0019222)	6874	3657	2991.25	+	1.22	3.44E-34	4.53E-31
negative regulation of response to stimulus (GO:0048585)	1831	974	796.77	+	1.22	1.35E-07	9.22E-06
positive regulation of multicellular organismal process (GO:0051240)	1431	761	622.71	+	1.22	4.40E-06	2.31E-04
regulation of macromolecule metabolic process (GO:0060255)	6340	3371	2758.88	+	1.22	3.35E-30	4.07E-27
cytoskeleton organization (GO:0007010)	1212	644	527.41	+	1.22	2.96E-05	1.33E-03
nucleic acid metabolic process (GO:0090304)	2217	1178	964.74	+	1.22	5.30E-09	4.62E-07
cell cycle process (GO:0022402)	957	508	416.44	+	1.22	2.38E-04	8.61E-03
cellular macromolecule biosynthetic process (GO:0034645)	1639	870	713.22	+	1.22	9.27E-07	5.45E-05
negative regulation of gene expression (GO:0010629)	999	530	434.72	+	1.22	1.80E-04	6.74E-03
regulation of gene expression (GO:0010468)	4922	2611	2141.83	+	1.22	4.71E-21	1.49E-18
DNA metabolic process (GO:0006259)	777	412	338.11	+	1.22	1.02E-03	2.91E-02
apoptotic process (GO:0006915)	913	484	397.30	+	1.22	3.84E-04	1.30E-02
intracellular transport (GO:0046907)	1464	776	637.07	+	1.22	4.88E-06	2.52E-04
positive regulation of biological process (GO:0048518)	6331	3355	2754.96	+	1.22	4.19E-29	4.14E-26
macromolecule modification (GO:0043412)	3211	1701	1397.28	+	1.22	1.03E-12	1.49E-10
cell cycle (GO:0007049)	1316	697	572.66	+	1.22	1.73E-05	8.02E-04
regulation of cell adhesion (GO:0030155)	731	387	318.10	+	1.22	1.62E-03	4.29E-02
regulation of molecular function (GO:0065009)	3118	1649	1356.81	+	1.22	3.99E-12	5.21E-10
cellular macromolecule metabolic process (GO:0044260)	4909	2595	2136.17	+	1.21	2.89E-20	8.15E-18
cellular developmental process (GO:0048869)	3634	1919	1581.35	+	1.21	4.25E-14	6.85E-12
cellular protein metabolic process (GO:0044267)	3590	1891	1562.20	+	1.21	1.58E-13	2.45E-11
nucleobase-containing compound metabolic process (GO:0006139)	2705	1423	1177.09	+	1.21	5.95E-10	5.91E-08
cell differentiation (GO:0030154)	3575	1880	1555.68	+	1.21	2.97E-13	4.52E-11
response to lipid (GO:0033993)	831	437	361.61	+	1.21	1.16E-03	3.22E-02
RNA metabolic process (GO:0016070)	1582	831	688.41	+	1.21	5.84E-06	2.95E-04
cellular biosynthetic process (GO:0044249)	2715	1424	1181.44	+	1.21	1.10E-09	1.06E-07
cellular component organization (GO:0016043)	5783	3030	2516.50	+	1.20	8.60E-23	3.02E-20
developmental process involved in reproduction (GO:0003006)	974	510	423.84	+	1.20	5.63E-04	1.79E-02
biosynthetic process (GO:0009058)	2865	1500	1246.72	+	1.20	4.72E-10	4.78E-08
regulation of catalytic activity (GO:0050790)	2433	1272	1058.73	+	1.20	1.89E-08	1.49E-06
cellular response to oxygen-containing compound (GO:1901701)	1075	562	467.79	+	1.20	3.21E-04	1.12E-02
organic substance biosynthetic process (GO:1901576)	2803	1464	1219.74	+	1.20	1.28E-09	1.22E-07
response to oxygen-containing compound (GO:1901700)	1604	837	697.99	+	1.20	1.12E-05	5.28E-04
organelle organization (GO:0006996)	3567	1861	1552.19	+	1.20	3.27E-12	4.45E-10
negative regulation of protein metabolic process (GO:0051248)	1112	580	483.89	+	1.20	3.21E-04	1.12E-02
cellular component organization or biogenesis (GO:0071840)	6006	3132	2613.54	+	1.20	8.96E-23	3.08E-20
cellular localization (GO:0051641)	2985	1556	1298.94	+	1.20	5.12E-10	5.15E-08
cellular response to organic substance (GO:0071310)	2344	1221	1020.00	+	1.20	7.26E-08	5.14E-06
tissue development (GO:0009888)	1729	900	752.38	+	1.20	6.34E-06	3.14E-04
nitrogen compound transport (GO:0071705)	1708	889	743.24	+	1.20	6.97E-06	3.42E-04
response to organic cyclic compound (GO:0014070)	900	468	391.64	+	1.19	1.56E-03	4.15E-02
carbohydrate derivative metabolic process (GO:1901135)	1008	524	438.64	+	1.19	8.34E-04	2.49E-02
movement of cell or subcellular component (GO:0006928)	1596	829	694.51	+	1.19	1.97E-05	9.09E-04
negative regulation of cellular protein metabolic process (GO:0032269)	1040	540	452.56	+	1.19	7.32E-04	2.23E-02
response to organic substance (GO:0010033)	3008	1560	1308.94	+	1.19	1.36E-09	1.29E-07
locomotion (GO:0040011)	1345	696	585.28	+	1.19	1.47E-04	5.68E-03
cellular component assembly (GO:0022607)	2494	1290	1085.27	+	1.19	9.12E-08	6.41E-06
organonitrogen compound catabolic process (GO:1901565)	1091	564	474.75	+	1.19	7.08E-04	2.17E-02
cellular aromatic compound metabolic process (GO:0006725)	2937	1517	1278.05	+	1.19	5.25E-09	4.61E-07
heterocycle metabolic process (GO:0046483)	2891	1490	1258.03	+	1.18	1.19E-08	9.79E-07
homeostatic process (GO:0042592)	1680	861	731.06	+	1.18	5.29E-05	2.26E-03
cellular component biogenesis (GO:0044085)	2754	1410	1198.41	+	1.18	1.08E-07	7.41E-06
cellular nitrogen compound metabolic process (GO:0034641)	3395	1738	1477.35	+	1.18	1.79E-09	1.68E-07
chemical homeostasis (GO:0048878)	1139	583	495.64	+	1.18	1.18E-03	3.27E-02
establishment of localization in cell (GO:0051649)	2335	1195	1016.08	+	1.18	1.43E-06	8.11E-05
organonitrogen compound biosynthetic process (GO:1901566)	1379	704	600.08	+	1.17	4.05E-04	1.36E-02
protein metabolic process (GO:0019538)	4203	2142	1828.95	+	1.17	2.47E-11	3.03E-09
cellular metabolic process (GO:0044237)	7542	3840	3281.93	+	1.17	7.53E-24	2.90E-21
organic cyclic compound metabolic process (GO:1901360)	3182	1620	1384.66	+	1.17	2.45E-08	1.86E-06
protein-containing complex subunit organization (GO:0043933)	1605	817	698.42	+	1.17	1.54E-04	5.89E-03
regulation of response to stimulus (GO:0048583)	4306	2187	1873.77	+	1.17	3.59E-11	4.30E-09
protein-containing complex assembly (GO:0065003)	1358	689	590.94	+	1.17	7.63E-04	2.32E-02
macromolecule metabolic process (GO:0043170)	6151	3119	2676.63	+	1.17	6.11E-17	1.25E-14
nitrogen compound metabolic process (GO:0006807)	6886	3489	2996.47	+	1.16	1.32E-19	3.55E-17
primary metabolic process (GO:0044238)	7352	3715	3199.25	+	1.16	8.58E-21	2.56E-18
organic substance transport (GO:0071702)	2079	1048	904.69	+	1.16	4.61E-05	1.99E-03
cellular catabolic process (GO:0044248)	1812	912	788.50	+	1.16	1.99E-04	7.34E-03
cellular response to chemical stimulus (GO:0070887)	2914	1463	1268.04	+	1.15	1.64E-06	9.27E-05
organonitrogen compound metabolic process (GO:1901564)	5246	2632	2282.82	+	1.15	4.69E-12	6.03E-10
reproductive process (GO:0022414)	1459	732	634.89	+	1.15	1.21E-03	3.30E-02
reproduction (GO:0000003)	1462	733	636.20	+	1.15	1.22E-03	3.34E-02
metabolic process (GO:0008152)	8313	4140	3617.44	+	1.14	1.31E-20	3.85E-18
organic substance metabolic process (GO:0071704)	7840	3902	3411.61	+	1.14	1.26E-18	3.02E-16
localization (GO:0051179)	5831	2901	2537.38	+	1.14	2.71E-12	3.76E-10
catabolic process (GO:0009056)	2096	1036	912.08	+	1.14	4.38E-04	1.45E-02
regulation of cellular process (GO:0050794)	11351	5542	4939.43	+	1.12	5.35E-27	3.52E-24
gene expression (GO:0010467)	2117	1033	921.22	+	1.12	1.48E-03	3.97E-02
establishment of localization (GO:0051234)	4631	2257	2015.20	+	1.12	5.31E-07	3.24E-05
transport (GO:0006810)	4476	2174	1947.75	+	1.12	2.10E-06	1.16E-04
regulation of biological process (GO:0050789)	11898	5755	5177.46	+	1.11	2.08E-25	9.37E-23
biological regulation (GO:0065007)	12568	6038	5469.02	+	1.10	1.71E-25	7.96E-23
multicellular organismal process (GO:0032501)	6926	3311	3013.88	+	1.10	4.26E-08	3.09E-06
cellular process (GO:0009987)	15495	7262	6742.71	+	1.08	3.16E-28	2.50E-25
cellular response to stimulus (GO:0051716)	6807	3145	2962.09	+	1.06	6.72E-04	2.07E-02
biological_process (GO:0008150)	17851	8172	7767.94	+	1.05	2.46E-29	2.60E-26
system process (GO:0003008)	2057	791	895.11	-	.88	1.87E-03	4.82E-02
immune system process (GO:0002376)	2903	1096	1263.25	-	.87	1.49E-05	6.99E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	569	693.20	-	.82	2.33E-05	1.06E-03
regulation of immune response (GO:0050776)	1183	415	514.79	-	.81	8.86E-05	3.57E-03
response to biotic stimulus (GO:0009607)	1547	541	673.18	-	.80	4.30E-06	2.28E-04
positive regulation of immune system process (GO:0002684)	1069	368	465.18	-	.79	5.51E-05	2.34E-03
response to external biotic stimulus (GO:0043207)	1426	479	620.53	-	.77	2.84E-07	1.85E-05
response to other organism (GO:0051707)	1425	478	620.09	-	.77	2.44E-07	1.62E-05
nervous system process (GO:0050877)	1416	474	616.18	-	.77	2.24E-07	1.50E-05
defense response (GO:0006952)	1426	456	620.53	-	.73	1.48E-09	1.39E-07
epidermis development (GO:0008544)	422	134	183.64	-	.73	1.10E-03	3.09E-02
immune response (GO:0006955)	2075	650	902.94	-	.72	4.36E-15	7.65E-13
leukocyte migration (GO:0050900)	379	118	164.92	-	.72	1.14E-03	3.19E-02
